Semestre,clv_Mat,Materia,Turno,Grupo,Lunes,Martes,Miercoles,Jueves,Viernes,Sabado,Salón
0,310,TEMAS ESPECIALES DE PROGRAMACION 2,M,1008,,"09,00 - 11,00",,"09,00 - 11,00",,,A11204
0,174,PROGRAMACION DE VIDEOJUEGOS 2,M,1009,"07,00 - 08,20",,"07,00 - 08,20",,"07,00 - 08,20",,A204
0,1003,PROYECTO ESCUELA-INDUSTRIA,M,1009,"11,30 - 12,50",,"11,30 - 12,50",,"11,30 - 12,50",,A506
0,2128,ROBOTICA,M,1009,"07,00 - 08,20",,"07,00 - 08,20",,"07,00 - 08,20",,A8118
0,18,SEMINARIO INGENIERIA EN COMPUTACION,M,1009,,"11,00 - 13,00",,"11,00 - 13,00",,,A325
0,308,TEMAS ESPECIALES DE COMPUTACION 6,M,1009,"10,00 - 11,20",,"10,00 - 11,20",,"10,00 - 11,20",,A8117
0,1910,GRAFICACION POR COMPUTADORA,M,1010,"08,20 - 09,40",,"08,20 - 09,40",,"08,20 - 09,40",,A204
0,170,PROGRAMACION DE VIDEOJUEGOS 1,M,1010,"11,30 - 12,50",,"11,30 - 12,50",,"11,30 - 12,50",,A204
0,1003,PROYECTO ESCUELA-INDUSTRIA,M,1010,,,,,,"7,00 - 11,00",VIRTUAL
0,2128,ROBOTICA,M,1010,,"11,00 - 13,00",,"11,00 - 13,00",,,A1023
0,167,TEMAS ESPECIALES DE COMPUTACION 1,M,1010,"07,00 - 09,00",,"07,00 - 09,00",,,,A8119
0,171,TEMAS ESPECIALES DE COMPUTACION 2,M,1010,"11,40 - 13,00",,"11,40 - 13,00",,"11,40 - 13,00",,A8117
0,312,TEMAS ESPECIALES DE REDES,M,1010,"09,00 - 11,00",,"09,00 - 11,00",,,,A11204
0,1916,PROCESAMIENTO DIGIT.IMAGENES,T,1057,,"18,00 - 20,00",,"18,00 - 20,00",,,A11205
0,1003,PROYECTO ESCUELA-INDUSTRIA,T,1057,,,"14,00 - 16,00",,"14,00 - 16,00",,A205
0,18,SEMINARIO INGENIERIA EN COMPUTACION,T,1057,"18,40 - 20,00",,"18,40 - 20,00",,"18,40 - 20,00",,A8118
0,13,TEMAS ESPECIALES DE BASES DE DATOS,T,1057,,,,,,"11,00 - 3,00",VIRTUAL
0,167,TEMAS ESPECIALES DE COMPUTACION 1,T,1057,"19,00 - 20,20",,"19,00 - 20,20",,"19,00 - 20,20",,A8121
0,176,TEMAS ESPECIALES DE COMPUTACION 4,T,1057,,"19,30 - 21,30",,"19,30 - 21,30",,,A11201
0,313,TEMAS ESPECIALES DE SEGURIDAD INFORM,T,1057,,"13,00 - 15,00",,"13,00 - 15,00",,,A8119
0,8,ADMINISTRACION SISTEMAS MULTIUSUAR,T,1058,,,,,"17,00 - 21,00",,A505
0,2138,SISTEMAS EXPERTOS,T,1058,"12,40 - 14,00",,"12,40 - 14,00",,"12,40 - 14,00",,A8119
0,312,TEMAS ESPECIALES DE REDES,T,1058,"17,00 - 18,20",,"17,00 - 18,20",,"17,00 - 18,20",,A11202
0,1910,GRAFICACION POR COMPUTADORA,T,1059,,"18,00 - 20,00",,"18,00 - 20,00",,,A203
0,1003,PROYECTO ESCUELA-INDUSTRIA,T,1060,"19,30 - 21,30",,"19,30 - 21,30",,,,A11204
0,1003,PROYECTO ESCUELA-INDUSTRIA,T,1061,"18,00 - 22,00",,,,,,A11201
0,167,TEMAS ESPECIALES DE COMPUTACION 1,T,1061,,"18,00 - 20,00",,"18,00 - 20,00",,,A8119
0,312,TEMAS ESPECIALES DE REDES,T,1061,"20,00 - 21,20",,"20,00 - 21,20",,"20,00 - 21,20",,A212
0,314,VINCULACION EMPRESARIAL,T,1061,,"17,00 - 19,00",,"17,00 - 19,00",,,A507
0,1627,INSTRUMENTACION Y CONTROL,T,1062,,"18,00 - 20,00",,"18,00 - 20,00",,,A8120
